pub_date,author,img_url,pid,text,response,issue,desired_knowledge
9/25/18 11:16,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/f64977905d4d68a7a6fdc5a1ab3cf6d2/5C444D02/t51.2885-15/e35/41731036_366527790553451_4301471009023115184_n.jpg,BoJ7ehGld9u,"Wow nice ! Is this a rural setting? Yes, right?",@bee.amela yes right.,,
9/25/18 11:09,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/fe86c8e6eb9db571f71ce677da7b8038/5C42DCFF/t51.2885-15/e35/41984914_314351972480706_8042203456029421446_n.jpg,BoJ7ebBjaxf,"Ohh very nice ! Is this person wearing a shirt? Yes, right?",@bee.amela 👗,,
9/25/18 10:34,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/e73559ef67d138fecd2d0b5203a02a38/5C62E4F6/t51.2885-15/e35/42097471_721297198221462_6197549448441665582_n.jpg,BoIUfh0nrZ2,"Ohh very nice ! What is the sandwich wrapped in? Paper, right?",@bee.amela Yes it’s paper!,,
9/25/18 9:58,ballintama,https://scontent-lax3-2.cdninstagram.com/vp/e060ef850f999611653bb861b0a98be8/5C596EAC/t51.2885-15/e35/42003082_521933524935693_4760387739074313999_n.jpg,BoIbWuSASXM,"Ahhh very nice ! What is the white stuff on the cake? Sugar, right?","@ballintama the cake base cover is buttercream, and the white stuffs on the cake at the back is white chocolate 😊",,
9/25/18 9:38,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/1bb8f5928a85bd95ebfd32f21ba6ce8a/5C565A1E/t51.2885-15/e35/41514211_335347653884770_2493337952966841047_n.jpg,BoINgkwh09d,"Ohh very nice ! Is the cat asleep? No, right?",@bee.amela Nope! 😘,,
9/25/18 7:34,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/5a8fd4745a82c9d16cc27834cbe3e8f4/5C2499BE/t51.2885-15/e35/41705532_485072201902966_2676224714697379311_n.jpg,BoIGu9kFFGe,"Ohh very nice ! What is the green vegetable? None, right?","@ceelvancho which one? There’s too many, but here we go: broccoli, spinach, with one egg. And there’s mashed broccoli, with cabbage salad. 🌿🌿",,
9/25/18 7:26,payniv,https://scontent-lax3-2.cdninstagram.com/vp/467a6547103b5674579e5fc9dcd8a20c/5C48A1BF/t51.2885-15/e35/41937201_2243352289232596_9038325675903794556_n.jpg,BoIbQ_HhnLf,"Ohh nice ! What is the teddy bear wearing? Collar, right?","@payniv  Hi! You are not using anything. Use translator, sorry",,
9/25/18 4:24,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/b2d34fae815ecaf99b1266ad92ecbf35/5C22EA43/t51.2885-15/e35/42002720_1911590948924781_8982685421510656627_n.jpg,BoFh6_JhIvY,"Wow , what an amazing photo here ! What is the shape of the plate? Circle, right?",@ceelvancho thank you.  circle it is 👏,,
9/25/18 4:01,ballintama,https://scontent-lax3-2.cdninstagram.com/vp/4847a5573900aa24f8ccfe55bde18e15/5C2B0B07/t51.2885-15/e35/41138835_564722917293932_4856113255782809600_n.jpg,BoIbLxGHwYm,"Ahhh , what a very pleasant photo here ! What is the chair made out of? Wood, right?",@designbygolden @huntingforgeorge @ballintama 😇,,
9/25/18 3:59,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/2b55c30dc8299ce285548a6459fa4378/5C25C865/t51.2885-15/e35/41438726_1108979422588609_135590950089320682_n.jpg,BoH_3YgBLg5,"Nice ! Is the baby wearing a bib? No, right?",@ceelvancho What's a bib? 🤣🤣🤣 She's wearing a dress ♥️♥️♥️,,
9/25/18 3:53,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/8ddb619605c40da9408f62a02552ed5e/5C5AA1F9/t51.2885-15/e35/41006234_320606702049938_5993638717150866090_n.jpg,BoIbTjcBGUV,"Looks delicious ! What is the food in the bowl? Apples, right?",@bee.amela Pink ones? Then ginger vinegar.,,
9/25/18 3:44,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/871f64f16e0ab996de33e1cf33cbde68/5C410CF4/t51.2885-15/e35/41994167_2153736398226762_439482484267726952_n.jpg,BoIUa5pH0Fb,"Wow , what an amazing photo here ! What is the white stuff on the plate? Rice, right?",@bee.amela which plate?,,
9/25/18 3:22,payniv,https://scontent-lax3-2.cdninstagram.com/vp/b2ddf19ffcd87342ca424e19f2fc8c68/5C4ABF09/t51.2885-15/e35/41538382_172332083675081_2228476757447639737_n.jpg,BoIbSA0F8wM,"Ohh very nice ! What is the green vegetable? Broccoli, right?","@payniv Okra is a warm-season vegetable, also known as gumbo or ladies' fingers. It is a good source of minerals, vitamins, and fiber. It contains a characteristic viscous juice that can be used to thicken sauces.",,
9/25/18 3:18,ballintama,https://scontent-lax3-2.cdninstagram.com/vp/4847a5573900aa24f8ccfe55bde18e15/5C2B0B07/t51.2885-15/e35/41138835_564722917293932_4856113255782809600_n.jpg,BoIbLxGHwYm,"Ahhh , what a very pleasant photo here ! What is the chair made out of? Wood, right?",@ballintama we'll have to confirm with @designbygolden,,
9/25/18 2:55,ballintama,https://scontent-lax3-2.cdninstagram.com/vp/5095be293c022ff041e3906d2d3492b8/5C266873/t51.2885-15/e35/41658622_238237230203669_4189021900002121857_n.jpg,BoIbUoilt1P,"Awww so cute ! What is the white stuff on the plate? Cake, right?",@ballintama The agite stuff is the plate.  The avocado is stuff with Tofu,,
9/25/18 2:46,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/91cfee53e058b168d719a99cc80049d6/5C5D4B61/t51.2885-15/e35/41370663_327888338031727_53439931945011656_n.jpg,BoIUeGSnino,"Ohh very nice ! Is this a hotel room? Yes, right?",@ceelvancho no but I hope my client feels that way when she sleeps here ☺️,,
9/25/18 2:37,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/69d47a97e1ac00ca33cc680318d4d460/5C5DB595/t51.2885-15/e35/42003088_274380029864711_1238407903985386110_n.jpg,BoIUf5RDzTX,"Ohh nice ! Is this plane landing? No, right?",@bee.amela Parked!!!,,
9/25/18 2:28,payniv,https://scontent-lax3-2.cdninstagram.com/vp/d0b02ffed0c2be0e584d63f94aeac717/5C22BDB5/t51.2885-15/e35/41338132_1868409263251649_8785786908081452688_n.jpg,BoHdjj7A-85,"Ohh very nice ! Is the person wearing a shirt? Yes, right?","@payniv yep, it's a short sleeve shirt 😊",,
9/25/18 1:38,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/f5534a25269a27169c2e1336ea9f7359/5C600E15/t51.2885-15/e35/41939918_314945045981558_100923446319944893_n.jpg,BoHWoozH_VB,"Wow very nice ! What is the green vegetable? Broccoli, right?","@ceelvancho Thank you. Yes, it is broccoli.",,
9/25/18 1:33,jeebanon,https://scontent-lax3-2.cdninstagram.com/vp/7be6c19ccf1c0f3e552c6bc33474a553/5C43811F/t51.2885-15/e35/41358698_2169834593258529_8836625263417440947_n.jpg,BoIbRtVHT-9,"Wow nice ! Is this a beach? Yes, right?",@jeebanon yes 😊,,
9/25/18 1:21,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/3ea3201fb554503c42295855b284b783/5C5741CF/t51.2885-15/e35/41606027_530041947423220_1850340725558401050_n.jpg,BoH5CVVF8No,"Very nice looking countertops ! Is this a restaurant? No, right?",@ceelvancho Thanks for the comment. This is the Reform Club in Central London. It's normally off-limits to non-members but you can visit it during Open House London.,,
9/25/18 0:58,payniv,https://scontent-lax3-2.cdninstagram.com/vp/91bbf29a755649de05eac51dbc74daf8/5C2B8AF4/t51.2885-15/e35/41340364_2180242562217916_4448537426439578397_n.jpg,BoIGxiOhN3t,"Ohh very nice ! What is the lady doing? Sitting, right?",@payniv what ???,,
9/25/18 0:56,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/4dab540bea7eb7bd027cfe57d961dedb/5C442B9F/t51.2885-15/e35/41463062_2021876534769817_7324032403523045349_n.jpg,BoH4-r8FYYn,"Wow very nice ! Is this a modern bathroom? No, right?","@ceelvancho no it’s an exhibition of the work of Vincenzo De Cotiis, 💙",,
9/25/18 0:45,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/ada3a59a7a379ed30b1a5aa18aea5ceb/5C4A63B6/t51.2885-15/e35/42186016_501177047014451_4629217448815645380_n.jpg,BoIGmITg_Jt,"Ohh very nice ! What is the dog 's head resting on? Nothing, right?",@bee.amela nothing! That’s just how she sits :),,
9/25/18 0:33,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/52a4f7afac836373951151789dcc848f/5C55AEF9/t51.2885-15/e35/41421247_1791942937570408_4935510595791199011_n.jpg,BoHWow9hSYP,"Ohh very nice ! What is the teddy bear wearing? Collar, right?",@bee.amela yes🙏💙,,
9/25/18 0:31,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/a80507937a125515c68bea7390573f73/5C270017/t51.2885-15/e35/42078563_243197673207098_2598072332718499475_n.jpg,BoINfq2HBZn,"Ohh very nice ! Is the cat asleep? No, right?",@bee.amela the cat is licking😉,,
9/25/18 0:25,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/a4dd323b8437fd64434fd82cefc8031f/5C5E4E88/t51.2885-15/e35/41552321_232716977594555_630805352660631122_n.jpg,BoIUeo4l9N2,"Ahhh very nice ! What is the white stuff on the bowl? Tile, right?",@ceelvancho that’s the bedding,,
9/24/18 23:50,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/3a890ebdb6aa58c005e0b384cebc6471/5C2370FC/t51.2885-15/e35/41690998_292553551345173_3228794430168102248_n.jpg,BoH45hNF5Zz,"Ohh very nice ! Is the cat looking at the camera? No, right?","@bee.amela Usually we look left, right, up and down.  This is how our hoomans come up with funny things to get a picture from the front",,
9/24/18 23:20,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/cb27e1c96ba6c14a9e3c9aa6d30d342c/5C463081/t51.2885-15/e35/41963153_2098154920437618_7455361282474582365_n.jpg,BoH_6aRnnpd,"Wow , very amazing photo here ! Is this a cloudy day? Yes, right?",@ceelvancho a bit ☺ thank you!,,
9/24/18 23:02,ballintama,https://scontent-lax3-2.cdninstagram.com/vp/b4482d16ccf9ad6a44cf19039bd72afc/5C3FC569/t51.2885-15/e35/42518182_2183465375260544_8223099648559753787_n.jpg,BoHrUUugoOZ,"Awesome photo ! Is this a modern photo? Yes, right?",@ballintama taken yesterday,,
9/24/18 22:33,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/a97d10a6126324c6cd7b39132f84d6a9/5C409A29/t51.2885-15/e35/41382129_465555087298250_7107053578997008109_n.jpg,BoH_4YOhsaa,"Wow , what an amazing photo here ! Is this a living room? Yes, right?",@bee.amela its the private dining area❤️❤️,,
9/24/18 22:32,ethanthegarden,https://scontent-lax3-2.cdninstagram.com/vp/c8073cf27fc2c43dfec55e1832406ee4/5C4195B4/t51.2885-15/e35/41235909_2104069646520511_8890092227447060540_n.jpg,BoHrUHYDE4v,"Ohh very nice ! Is this a rural setting? Yes, right?",@ethanthegarden Thank you. Very rural. Very beautiful. It’s an old village overlooking the Viros Gorge. One of the most amazing places I’ve been 😍,,
9/24/18 22:27,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/78d473de3d7b498c0d430c3e834da4ee/5C5E30F2/t51.2885-15/e35/41506882_248095939235156_2836013862494945734_n.jpg,BoHyKpwjpN6,"Ohh very nice ! Is the person wearing a tie? Yes, right?",@ceelvancho A tie? Where is it?,,
9/24/18 21:58,payniv,https://scontent-lax3-2.cdninstagram.com/vp/981912ad16f3b8abef847508edce406c/5C3D611A/t51.2885-15/e35/42003960_170742973808659_8893457885466991335_n.jpg,BoIGnnQl1QN,"Nice ! What is the dog 's head resting on? Nothing, right?","@payniv nope, he’s just a good boy sitting straight 🐶",,
9/24/18 21:53,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/dacbd7c8b569a4d555ed948782923108/5C62D09A/t51.2885-15/e35/41935274_2149541258664963_4645398625482964992_n.jpg,BoIbVV5neI9,"Ohh very nice ! What is the person wearing around their neck? Necklace, right?","@ceelvancho yes, it is a Necklace",,
9/24/18 21:51,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/12c7e47f05b884dcfe92b68b233d54ae/5C5937D5/t51.2885-15/e35/42002782_317307348823060_8370427848819098296_n.jpg,BoIbRDSl71B,"Ahhh very beautiful ! Is this a home kitchen? Yes, right?",@ceelvancho thank you :) Home kitchen?,,
9/24/18 21:47,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/34d0c1fa2c72fd5dae6f4e8b63c2a9d6/5C4B0D51/t51.2885-15/e35/42003873_1721346164655606_6651829694725887844_n.jpg,BoIbVWOBQPT,"Wow very nice ! Is this a beach? No, right?","@ceelvancho it's an estuary, so right next to a beach!",,
9/24/18 21:46,payniv,https://scontent-lax3-2.cdninstagram.com/vp/cf27843fa95010585d9fc21137f5282c/5C29972B/t51.2885-15/e35/41436709_473270433177545_2887757627446539369_n.jpg,BoIURjsnQUH,"Wow very nice ! Is the dog on a leash? Yes, right?",@payniv hahah yes the leash is on the dog ;)),,
9/24/18 21:44,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/4b3c6b3bb724f00afa9166be177720cc/5C475078/t51.2885-15/e35/41799045_1917953121831517_1210894772698870382_n.jpg,BoH46k1B6TB,"Ohh very nice ! Is this a wild animal? No, right?",Right😂 @bee.amela,,
9/24/18 21:33,ethanthegarden,https://scontent-lax3-2.cdninstagram.com/vp/e3383097766c5ec3c437de16873cdb7f/5C416454/t51.2885-15/e35/41214756_332710063944722_2343170588161826605_n.jpg,BoIbWj4AxKK,"What a awesome photo here ! Is this a busy street? No, right?","@ethanthegarden I actually think this was a designated bike lane... although I’m not 100% sure on that one. Whatever it was, at that point in time it wasn’t busy at all!",,
9/24/18 21:28,ballintama,https://scontent-lax3-2.cdninstagram.com/vp/36f99515ce8c9c6f80d17ee4156e8617/5C552406/t51.2885-15/e35/41660931_1511369459006991_9158227158127693466_n.jpg,BoIbW48HLi5,"Ohh very nice ! What is the color of the shirt? Blue, right?",@ballintama it's more of a maroon 😀 if you click the link in the picture it will take you to more pictures of them and different angles .. we love these ones and have a few pairs .. super comfortable,,
9/24/18 21:22,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/7724b7e27a452a8429c3614229b1f332/5C5D3DA9/t51.2885-15/e35/41303074_266461454197536_7878465976932423856_n.jpg,BoIbUvAg1sL,"Ahhhh , very amazing photo here ! Is this a busy street? No, right?","@bee.amela Actually, I forgot where was this taken. I think it's nearby Ste Marie-Madeleine.",,
9/24/18 21:20,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/9db957156c5ce9e1bc6cfae8fe50b3a2/5C2501E9/t51.2885-15/e35/41303074_295336831068135_8051278095113118819_n.jpg,BoIbOyPgDLU,"Wow very nice ! Is the cat looking at the camera? Yes, right?",@bee.amela Yes.😸,,
9/24/18 21:20,payniv,https://scontent-lax3-2.cdninstagram.com/vp/8e1d6fc3638e25e21ad8101d7a377000/5C4611FE/t51.2885-15/e35/41516236_435533720305204_2294931254434838514_n.jpg,BoIUbvlgsQb,"Ohh very nice ! What is the lady doing? Sitting, right?",@payniv she’s cooking 😊,,
9/24/18 21:20,challengemonkey,https://scontent-lax3-2.cdninstagram.com/vp/d67df601d10be0a968555bdca2076643/5C6021FE/t51.2885-15/e35/41363398_740879469584643_9097038637424543857_n.jpg,BoIbPqBlME5,"Wow very nice ! What is the animal on the right doing? Sitting, right?",@challengemonkey it me I'm half standing🤗💞🐇😘💕,,
9/24/18 21:15,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/d9519654e6bb7e84a36cbe6b58d3f2db/5C59EC08/t51.2885-15/e35/41764497_274183356752294_505915149962444800_n.jpg,BoIbVXjhRLI,"Looks great ! Is this a healthy meal? Yes, right?",@bee.amela it depends...what does healthy mean to you? 😂😂,,
9/24/18 21:15,ethanthegarden,https://scontent-lax3-2.cdninstagram.com/vp/73cf8c7f5b11446e940a55d988119682/5C24AEDF/t51.2885-15/e35/41492378_318506798700306_7773310036298885160_n.jpg,BoIbILqH4LE,"Wow very nice ! Is there a fireplace? No, right?",@ethanthegarden thank you so much. No there isn’t,,
9/24/18 20:37,payniv,https://scontent-lax3-2.cdninstagram.com/vp/6fe11c217654c4a8fda1768590c0f8e1/5C617576/t51.2885-15/e35/42002703_1898366127125484_5238287711548456933_n.jpg,BoIUZfXnFBP,"Looks delicious ! What is the green vegetable? None, right?",@payniv lol...not in this meal! I promise I’ll be a good boy and choke down some kale tomorrow...lol. Actually I’m bigger fan of asparagus lately...did you see my post with the pencil asparagus tacos!!! Yum!!! 🤙#BigEzza,,
9/24/18 20:34,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/e7ed4218b0523fc95845466c3f3be0d6/5C42F576/t51.2885-15/e35/41672490_1948969408459470_7208916187551048868_n.jpg,BoIUf5Ul3JC,"Ohh very nice ! What is the shape of the backsplash? Round, right?",@ceelvancho hey! This is a kind of subway tile. It’s retangular,,
9/24/18 20:30,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/e088cf89616791a5ccdbdab5352641fe/5C54BE3C/t51.2885-15/e35/41681904_2141979902789304_7062223296591991798_n.jpg,BoINjpVHBAu,"Wow very nice ! Is this a beach? Yes, right?","@bee.amela Yes, this is! Incredible beautiful experience I ever had!",,
9/24/18 20:16,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/a18ecc215f367fb83e160c2917733c62/5C5B1F4F/t51.2885-15/e35/41537554_331435650943404_8855187988334772224_n.jpg,BoIUcSnF1b3,"Ohh very nice ! What is in the bowl? Water bottles, right?",@bee.amela ?? You mean under the apples? More apples... but great idea,,
9/24/18 20:14,iefiefil,https://scontent-lax3-2.cdninstagram.com/vp/3d5fa1b4eb767c6ab9d91e4c610e681e/5C429893/t51.2885-15/e35/42536476_2277409852286887_4878977067745346392_n.jpg,BoFo2jGg2sR,"Ohh nice ! What is the dog walking on? Floor, right?","@iefiefil yes, in the floor 💫",,
9/24/18 20:11,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/f0d71c229401b60cdb5eb05048497da8/5C45DA26/t51.2885-15/e35/41416088_663780730689302_6589895979787238931_n.jpg,BoIUWqGBJk_,"Wow very nice ! Is the dog 's tongue sticking out? No, right?",@bee.amela no lol,,
9/24/18 19:59,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/85652adb5a4bcedc2664af127ec0752d/5C2CD83D/t51.2885-15/e35/41384814_480046309071713_6714735344023356637_n.jpg,BoF2b1Agz_I,"Such a beautiful view ! Is this a modern bathroom? Yes, right?",@bee.amela traditional/modern,,
9/24/18 19:47,payniv,https://scontent-lax3-2.cdninstagram.com/vp/03799816d6d2c5c0641b7b7885580db0/5C43A86B/t51.2885-15/e35/41848927_889933714463582_7966468604499783283_n.jpg,BoINl34AyUy,"Ohh nice ! What is the cat doing? Sitting, right?",@payniv yeah doing nothing. But just sitting. 😂,,
9/24/18 19:38,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/8c44df3b54675f67141904f9e7cbc5c5/5C45ADA2/t51.2885-15/e35/42339980_2097066543955218_4712559235144814120_n.jpg,BoINm4alc4h,"Wow , what an amazing photo here ! Is this a farm? No, right?",@bee.amela hey thank you! No it's a national park😉,,
9/24/18 19:37,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/8aef681bfefd02e0c42f7028c8fc1f33/5C61D69F/t51.2885-15/e35/41504212_1168173020004093_8586629529160383844_n.jpg,BoINoxBgGtr,"Wow very nice ! Is this a modern train? No, right?","@bee.amela no no, it's a Crucero, a ship or cruise CostaFascinosa.",,
9/24/18 19:28,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/e0a3492b2432a633a2742293ad38ec0a/5C42A7C6/t51.2885-15/e35/41398173_336401330267881_2543743874720963941_n.jpg,BoHkcN-HDLH,"Wow very nice ! Is this a farm? No, right?",@ceelvancho It's a road in the mountains!,,
9/24/18 19:26,payniv,https://scontent-lax3-2.cdninstagram.com/vp/477358aa35f4b5a37fdc96500ea94e26/5C5B2CF6/t51.2885-15/e35/41675023_234833550713313_8324718442100415078_n.jpg,BoIGqtSgDLZ,"Ohh very nice ! What is the color of the flower? White, right?",@payniv yes🌿,,
9/24/18 19:15,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/03f311e23e2363fc0d4d15ac10e1a34e/5C2B5B3B/t51.2885-15/e35/42117286_104315467170468_6227806717800862529_n.jpg,BoINm4HDpwY,"Wow , awesome photo ! Is this a black and white photo? No, right?",@bee.amela the sun was in the background and made it look that way but it’s color.,,
9/24/18 19:10,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/b7702f5a2f8b5e17b00c5224c1475f0f/5C2B182E/t51.2885-15/e35/41446450_526081437831464_5593625510664022589_n.jpg,BoIUgOcB0T6,"Very good photo ! What is the lady doing? Cooking, right?",@ceelvancho thank you 🙈 yes haha,,
9/24/18 19:05,payniv,https://scontent-lax3-2.cdninstagram.com/vp/caba80b1d9c4865997bcde1e5b4e3f40/5C27AD40/t51.2885-15/e35/41656379_169346323951977_216746618475312226_n.jpg,BoH_5uvHamo,"Ohh very nice ! How many different types of fruit are there? 3, right?","@payniv no is just lime. 
Maybe I didn’t understand a question 🙄😂
Thank you anyway 😍😊",,
9/24/18 18:40,payniv,https://scontent-lax3-2.cdninstagram.com/vp/4df25cf904589acb705e77a8d6c49346/5C47C16F/t51.2885-15/e35/41416093_320403845400824_3281925500157576496_n.jpg,BoIGujLnr8K,"Ohh very nice ! What is the person holding in the picture? Food, right?",@payniv  thank you✨  it’s delicious😋,,
9/24/18 18:19,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/edc3176ca66c38a3b56b6dbde63789d3/5C3C6508/t51.2885-15/e35/41832093_251095308885378_5664833877069185280_n.jpg,BoIGvvmHOJU,"Very nice photo ! What kind of bird is this? Parrot, right?",@ceelvancho it’s a plant!,,
9/24/18 18:12,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/d1880c0911ad73108d1387b84a5d8311/5C2BA873/t51.2885-15/e35/42080527_256757211705821_7828154851876025961_n.jpg,BoH_5pmn2rj,"Very nice looking set ! Is this a busy street? No, right?",@ceelvancho beach front! 🌊,,
9/24/18 17:53,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/da96594e2c9e966fe882e6144bcf05a6/5C59AC8F/t51.2885-15/e35/41489991_481942808975360_5258978349174226944_n.jpg,BoH_53VHyxk,"Very nice looking view ! Is the room carpeted? No, right?",@ceelvancho parquet,,
9/24/18 17:51,payniv,https://scontent-lax3-2.cdninstagram.com/vp/8cb7c989ad45cd3b804095954f73e93f/5C284EBB/t51.2885-15/e35/41537540_320222091859714_4904510716800663552_n.jpg,BoH_xzHAE3f,"Wow , awesome photo there ! Is this a living room? Yes, right?","@payniv I believe so, it’s so awesome!",,
9/24/18 17:47,ballintama,https://scontent-lax3-2.cdninstagram.com/vp/7b33d1e6a95dfabd24272b6cbd083eea/5C60CA0F/t51.2885-15/e35/41367082_2127428787289589_8951759512768073415_n.jpg,BoErDYvgf2U,"Very nice looking set ! Is this a modern photo? Yes, right?","@ballintama Yes, it is. Thanks!",,
9/24/18 17:21,payniv,https://scontent-lax3-2.cdninstagram.com/vp/49bae03a7e7ee8a23cea750af854ae72/5C44485A/t51.2885-15/e35/41408046_298760704184663_4685561181639898616_n.jpg,BoH_0J5AunK,"Ohh very nice ! What color are the cats eyes? Green, right?",@payniv  greenish yellow yep! :),,
9/24/18 16:44,payniv,https://scontent-lax3-2.cdninstagram.com/vp/2fc9defd36a09cff8f8f6423d42ad14a/5C633A5B/t51.2885-15/e35/41395015_316496332487478_2797663906001154189_n.jpg,BoH5C32lnOx,"Wow , what an amazing photo here ! Is this a beach? Yes, right?","@payniv yes, on the west coast of Scotland.....my spiritual homeland ✌ and thank you ✌",,
9/24/18 16:14,payniv,https://scontent-lax3-2.cdninstagram.com/vp/de84a01e50e703c94d9098c530584296/5C26593F/t51.2885-15/e35/41443790_268785717311920_4977696361302823364_n.jpg,BoH5A_aAU3B,"Very nice view ! Is this a boat? Yes, right?",@payniv definitely yes,,
9/24/18 16:13,ethanthegarden,https://scontent-lax3-2.cdninstagram.com/vp/eda86d452690257e5e07233ff3438f98/5C5A49DB/t51.2885-15/e35/41707354_2089121951404007_3887702954943412908_n.jpg,BoHrTwOl1SU,"Wow , what an amazing photo here ! Is this a modern truck? No, right?",@ethanthegarden they are not too modern but pretty cool right?,,
9/24/18 16:11,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/57ed979312db6d01d38ff110209c6366/5C3D2263/t51.2885-15/e35/42449466_296200967874558_5891665949614829045_n.jpg,BoHWnSDgsST,"Ahhh very nice ! Is the cat asleep? No, right?",@ceelvancho she’s awake 😸,,
9/24/18 16:10,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/4b87e2cef1ddc60206b0cf3a1b41e94d/5C237816/t51.2885-15/e35/41405335_296338731195658_6793105577785876866_n.jpg,BoH44ZHCuj3,"Ohh very nice ! Is this a baby giraffe? No, right?","@bee.amela no, its a adult. A beautiful One. My absolute favorit animal",,
9/24/18 15:57,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/92bc95eac56639840ba4f1126899241a/5C3D8193/t51.2885-15/e35/41299123_1885702954852301_6279309144261202706_n.jpg,BoHyKzwBO3b,"Wow , what an amazing photo here ! What is the shape of the pizza? Circle, right?",@bee.amela forma para pudim...,,
9/24/18 15:50,payniv,https://scontent-lax3-2.cdninstagram.com/vp/b23069a759a8339234e854346904b262/5C3E8294/t51.2885-15/e35/41451732_2214670335488579_221348946050066090_n.jpg,BoFGgGZB-5a,"Very nice view ! Is this a church? No, right?","@payniv It's Lisbon city council, Were the Mayor manages the town.",,
9/24/18 15:45,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/d13596eb570e5436e4fcf6952be25fe9/5C5D9D02/t51.2885-15/e35/40773937_324023178175130_1179574741648380330_n.jpg,BoHyKHylTcH,"Very nice looking photo ! Is this a restaurant? Yes, right?",@bee.amela Yes! Our restaurant is on Peel street in Montreal!,,
9/24/18 15:45,payniv,https://scontent-lax3-2.cdninstagram.com/vp/e503a38dedbd6d4b83929b7d536d9230/5C2CEFC2/t51.2885-15/e35/41757565_284843839106903_1368395033794106395_n.jpg,BoDYoyUFkDw,"Wow very nice ! What is the lady doing? Sitting, right?",@payniv 😆don’t know!,,
9/24/18 15:13,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/4db64ba84bf40edd98386fc726706792/5C585BD6/t51.2885-15/e35/41467601_2115796525100265_8516646530841025974_n.jpg,BoHrVs6gK8y,"Wow very nice ! Is the person wearing a bib? No, right?",@bee.amela 🧐🙄,,
9/24/18 14:46,payniv,https://scontent-lax3-2.cdninstagram.com/vp/0a4fb6d45c65c96353a9ce3a9b1d0285/5C5F5536/t51.2885-15/fr/e15/s1080x1080/42080473_2348301641863585_4655718036688673788_n.jpg,BoHrVG6AVY4,"Very nice ! Is this a church? Yes, right?",@payniv i think that are just hoses,,
9/24/18 14:35,payniv,https://scontent-lax3-2.cdninstagram.com/vp/a7d0caf3f1b5d45bf77e959598bfda9e/5C5B3093/t51.2885-15/e35/41381795_1937348853235611_2303372504198239258_n.jpg,BoHkcldBum9,"This is really really neat ! What is the person wearing around their neck? Collar, right?","@payniv I am not sure  who you are talking and what, but I am pretty sure it is just his jacket there is nothing special about the collars",,
